,Date,Matchday,Home team.1,Away team.1,Result,min_played,subbed_on,subbed_off,player_name,club
2,2022-12-01,Group E,Costa Rica,Germany,2:4,0,on the bench,on the bench,Armel Bella-Kotchap,Southampton FC
0,2022-11-24,Group H,Portugal,Ghana,3:2,90,,,Mohammed Salisu,Southampton FC
1,2022-11-28,Group H,South Korea,Ghana,2:3,90,,,Mohammed Salisu,Southampton FC
2,2022-12-02,Group H,Ghana,Uruguay,0:2,90,,,Mohammed Salisu,Southampton FC
0,2022-11-23,Group E,Spain,Costa Rica,7:0,0,on the bench,on the bench,David Raya,Brentford FC
1,2022-11-27,Group E,Spain,Germany,1:1,0,on the bench,on the bench,David Raya,Brentford FC
2,2022-12-01,Group E,Japan,Spain,2:1,0,on the bench,on the bench,David Raya,Brentford FC
3,2022-12-06,Round of 16,Morocco,Spain,3:0 on pens,0,on the bench,on the bench,David Raya,Brentford FC
0,2022-11-21,Group B,England,Iran,6:2,0,on the bench,on the bench,Saman Ghoddos,Brentford FC
1,2022-11-25,Group B,Wales,Iran,0:2,0,on the bench,on the bench,Saman Ghoddos,Brentford FC
2,2022-11-29,Group B,Iran,USA,0:1,45,46',,Saman Ghoddos,Brentford FC
0,2022-11-22,Group D,Denmark,Tunisia,0:0,25,65',,Mathias Jensen,Brentford FC
1,2022-11-26,Group D,France,Denmark,2:1,0,on the bench,on the bench,Mathias Jensen,Brentford FC
2,2022-11-30,Group D,Australia,Denmark,1:0,59,,59',Mathias Jensen,Brentford FC
0,2022-11-22,Group D,Denmark,Tunisia,0:0,45,45',,Mikkel Damsgaard,Brentford FC
1,2022-11-26,Group D,France,Denmark,2:1,73,,73',Mikkel Damsgaard,Brentford FC
2,2022-11-30,Group D,Australia,Denmark,1:0,31,59',,Mikkel Damsgaard,Brentford FC
0,2022-11-22,Group D,Denmark,Tunisia,0:0,0,on the bench,on the bench,Christian Nörgaard,Brentford FC
1,2022-11-26,Group D,France,Denmark,2:1,5,85',,Christian Nörgaard,Brentford FC
2,2022-11-30,Group D,Australia,Denmark,1:0,0,on the bench,on the bench,Christian Nörgaard,Brentford FC
0,2022-11-24,Group G,Switzerland,Cameroon,1:0,81,,81',Bryan Mbeumo,Brentford FC
1,2022-11-28,Group G,Cameroon,Serbia,3:3,81,,81',Bryan Mbeumo,Brentford FC
2,2022-12-02,Group G,Cameroon,Brazil,1:0,64,,64',Bryan Mbeumo,Brentford FC
0,2022-11-21,Group B,England,Iran,6:2,0,Not in squad,Not in squad,Tyrick Mitchell,Crystal Palace
1,2022-11-25,Group B,England,USA,0:0,0,Not in squad,Not in squad,Tyrick Mitchell,Crystal Palace
2,2022-11-29,Group B,Wales,England,0:3,0,Not in squad,Not in squad,Tyrick Mitchell,Crystal Palace
3,2022-12-04,Round of 16,England,Senegal,3:0,0,Not in squad,Not in squad,Tyrick Mitchell,Crystal Palace
4,2022-12-10,Quarter-Finals,England,France,1:2,0,Not in squad,Not in squad,Tyrick Mitchell,Crystal Palace
0,2022-11-22,Group D,Denmark,Tunisia,0:0,90,,,Joachim Andersen,Crystal Palace
1,2022-11-26,Group D,France,Denmark,2:1,90,,,Joachim Andersen,Crystal Palace
2,2022-11-30,Group D,Australia,Denmark,1:0,90,,,Joachim Andersen,Crystal Palace
0,2022-11-24,Group H,Portugal,Ghana,3:2,13,77',,Jordan Ayew,Crystal Palace
1,2022-11-28,Group H,South Korea,Ghana,2:3,78,,78',Jordan Ayew,Crystal Palace
2,2022-12-02,Group H,Ghana,Uruguay,0:2,45,,46',Jordan Ayew,Crystal Palace
0,2022-11-21,Group B,England,Iran,6:2,0,Not in squad,Not in squad,Marc Guéhi,Crystal Palace
1,2022-11-25,Group B,England,USA,0:0,0,Not in squad,Not in squad,Marc Guéhi,Crystal Palace
2,2022-11-29,Group B,Wales,England,0:3,0,Not in squad,Not in squad,Marc Guéhi,Crystal Palace
3,2022-12-04,Round of 16,England,Senegal,3:0,0,Not in squad,Not in squad,Marc Guéhi,Crystal Palace
4,2022-12-10,Quarter-Finals,England,France,1:2,0,Not in squad,Not in squad,Marc Guéhi,Crystal Palace
0,2022-11-21,Group B,USA,Wales,1:1,11,79',,Brennan Johnson,Nottingham Forest
1,2022-11-25,Group B,Wales,Iran,0:2,33,57',,Brennan Johnson,Nottingham Forest
2,2022-11-29,Group B,Wales,England,0:3,45,46',,Brennan Johnson,Nottingham Forest
0,2022-11-24,Group G,Switzerland,Cameroon,1:0,90,,,Remo Freuler,Nottingham Forest
1,2022-11-28,Group G,Brazil,Switzerland,1:0,90,,,Remo Freuler,Nottingham Forest
2,2022-12-02,Group G,Serbia,Switzerland,2:3,90,,,Remo Freuler,Nottingham Forest
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,54,,54',Remo Freuler,Nottingham Forest
0,2022-11-21,Group A,Senegal,Netherlands,0:2,73,,73',Cheikhou Kouyaté,Nottingham Forest
1,2022-11-25,Group A,Qatar,Senegal,1:3,0,Hamstring Injury,Hamstring Injury,Cheikhou Kouyaté,Nottingham Forest
2,2022-11-29,Group A,Ecuador,Senegal,1:2,0,Hamstring Injury,Hamstring Injury,Cheikhou Kouyaté,Nottingham Forest
3,2022-12-04,Round of 16,England,Senegal,3:0,0,Hamstring Injury,Hamstring Injury,Cheikhou Kouyaté,Nottingham Forest
0,2022-11-21,Group B,USA,Wales,1:1,79,,79',Neco Williams,Nottingham Forest
1,2022-11-25,Group B,Wales,Iran,0:2,90,,,Neco Williams,Nottingham Forest
2,2022-11-29,Group B,Wales,England,0:3,36,,36',Neco Williams,Nottingham Forest
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Wayne Hennessey,Nottingham Forest
1,2022-11-25,Group B,Wales,Iran,0:2,86,,,Wayne Hennessey,Nottingham Forest
2,2022-11-29,Group B,Wales,England,0:3,0,Red card suspension,Red card suspension,Wayne Hennessey,Nottingham Forest
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Tyler Adams,Leeds United
1,2022-11-25,Group B,England,USA,0:0,90,,,Tyler Adams,Leeds United
2,2022-11-29,Group B,Iran,USA,0:1,90,,,Tyler Adams,Leeds United
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,,Tyler Adams,Leeds United
0,2022-11-21,Group B,USA,Wales,1:1,24,66',,Brenden Aaronson,Leeds United
1,2022-11-25,Group B,England,USA,0:0,13,77',,Brenden Aaronson,Leeds United
2,2022-11-29,Group B,Iran,USA,0:1,45,46',,Brenden Aaronson,Leeds United
3,2022-12-03,Round of 16,Netherlands,USA,3:1,23,67',,Brenden Aaronson,Leeds United
0,2022-11-22,Group D,Denmark,Tunisia,0:0,90,,,Rasmus Kristensen,Leeds United
1,2022-11-26,Group D,France,Denmark,2:1,90,,90',Rasmus Kristensen,Leeds United
2,2022-11-30,Group D,Australia,Denmark,1:0,45,,46',Rasmus Kristensen,Leeds United
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Tim Ream,Fulham FC
1,2022-11-25,Group B,England,USA,0:0,90,,,Tim Ream,Fulham FC
2,2022-11-29,Group B,Iran,USA,0:1,90,,,Tim Ream,Fulham FC
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,,Tim Ream,Fulham FC
0,2022-11-21,Group B,USA,Wales,1:1,90,,90',Harry Wilson,Fulham FC
1,2022-11-25,Group B,Wales,Iran,0:2,57,,57',Harry Wilson,Fulham FC
2,2022-11-29,Group B,Wales,England,0:3,13,77',,Harry Wilson,Fulham FC
0,2022-11-24,Group H,Portugal,Ghana,3:2,2,88',,João Palhinha,Fulham FC
1,2022-11-28,Group H,Portugal,Uruguay,2:0,8,82',,João Palhinha,Fulham FC
2,2022-12-02,Group H,South Korea,Portugal,2:1,25,65',,João Palhinha,Fulham FC
3,2022-12-06,Round of 16,Portugal,Switzerland,6:1,0,on the bench,on the bench,João Palhinha,Fulham FC
4,2022-12-10,Quarter-Finals,Morocco,Portugal,1:0,0,on the bench,on the bench,João Palhinha,Fulham FC
0,2022-11-21,Group B,USA,Wales,1:1,45,,46',Daniel James,Fulham FC
1,2022-11-25,Group B,Wales,Iran,0:2,33,57',,Daniel James,Fulham FC
2,2022-11-29,Group B,Wales,England,0:3,77,,77',Daniel James,Fulham FC
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Antonee Robinson,Fulham FC
1,2022-11-25,Group B,England,USA,0:0,90,,,Antonee Robinson,Fulham FC
2,2022-11-29,Group B,Iran,USA,0:1,90,,,Antonee Robinson,Fulham FC
3,2022-12-03,Round of 16,Netherlands,USA,3:1,90,,90',Antonee Robinson,Fulham FC
0,2022-11-24,Group G,Brazil,Serbia,2:0,83,,83',Aleksandar Mitrović,Fulham FC
1,2022-11-28,Group G,Cameroon,Serbia,3:3,90,,,Aleksandar Mitrović,Fulham FC
2,2022-12-02,Group G,Serbia,Switzerland,2:3,90,,,Aleksandar Mitrović,Fulham FC
0,2022-11-21,Group B,USA,Wales,1:1,45,46',,Kieffer Moore,AFC Bournemouth
1,2022-11-25,Group B,Wales,Iran,0:2,90,,,Kieffer Moore,AFC Bournemouth
2,2022-11-29,Group B,Wales,England,0:3,90,,,Kieffer Moore,AFC Bournemouth
0,2022-11-21,Group B,USA,Wales,1:1,90,,,Chris Mepham,AFC Bournemouth
1,2022-11-25,Group B,Wales,Iran,0:2,90,,,Chris Mepham,AFC Bournemouth
2,2022-11-29,Group B,Wales,England,0:3,90,,,Chris Mepham,AFC Bournemouth
0,2022-11-22,Group D,Denmark,Tunisia,0:0,0,Not in squad,Not in squad,Philip Billing,AFC Bournemouth
1,2022-11-26,Group D,France,Denmark,2:1,0,Not in squad,Not in squad,Philip Billing,AFC Bournemouth
2,2022-11-30,Group D,Australia,Denmark,1:0,0,Not in squad,Not in squad,Philip Billing,AFC Bournemouth
